1000 1
-733 276 484
-219 -633 -579
-779 667 -912
784 947 -166
408 -515 -86
1 -266 388
-639 483 409
-341 -443 8
-63 -904 53
-166 -269 319
-108 -979 -901
-679 -289 73
551 153 -713
-216 890 692
669 -964 -200
760 -969 14
-89 99 -820
609 -564 -741
-403 846 312
-42 198 354
980 -902 -683
609 -602 812
96 45 121
-691 -808 -648
-138 -91 925
73 -355 117
-872 706 481
516 -286 248
-947 -264 -338
745 735 -300
250 568 -65
266 946 132
-168 757 -611
375 -156 820
875 -746 367
633 580 -173
854 -731 -425
935 955 -302
86 215 -873
271 186 -385
861 -485 -309
-835 -813 566
-375 -510 -434
-715 761 766
-132 34 263
542 412 -959
694 625 -41
359 -163 467
816 927 665
-596 592 714
471 -410 954
58 -121 -241
-271 -291 -255
-734 316 209
-434 254 -616
-507 -960 -166
683 -460 -231
346 414 -934
-868 -675 187
-361 -139 262
-916 -990 -100
-162 830 -308
986 -114 49
-655 245 -982
-826 215 958
-924 529 303
-912 301 -758
-489 517 773
-291 526 -144
892 -366 -798
325 -125 -112
-826 -341 -825
-194 547 330
-738 -730 297
927 356 -934
538 -555 48
293 795 135
-610 927 -626
-994 -757 446
931 -96 375
-958 888 -494
-44 961 -710
-235 -738 496
-363 911 -946
-183 -210 -396
321 -409 438
-909 -811 99
203 876 -541
-399 54 541
-879 470 -894
-798 -661 -679
911 -550 459
621 493 465
-69 -289 -267
-68 -512 440
-766 237 -356
155 444 548
20 -820 -151
594 -710 -828
-274 771 156
-600 -961 -370
-30 -103 807
-73 -452 570
18 110 -592
495 111 -148
357 -879 -265
-2 137 766
-103 313 816
-498 869 139
-408 118 -303
-491 488 -58
809 102 -341
225 363 59
641 -746 742
-174 -193 -247
815 384 289
199 560 -749
332 -983 996
797 -324 -219
483 631 -360
882 -901 557
584 -15 -854
-950 833 426
762 966 450
153 683 803
-527 -858 676
-922 -657 669
-571 726 429
127 694 270
921 539 521
-575 61 -421
481 -505 664
-422 184 -924
909 369 168
129 -573 595
-15 400 841
-804 -911 947
92 89 548
-108 67 -772
-703 -220 -914
694 966 -759
752 352 -479
807 126 -813
-235 -772 -227
675 486 577
-759 -938 857
326 133 880
551 827 29
-144 -413 -817
-646 255 -361
477 36 -810
-760 903 45
270 963 671
-900 -748 -471
784 658 664
-146 490 -98
577 434 -420
-901 408 465
457 -143 -598
466 207 615
-48 -369 299
-973 269 635
186 777 627
612 -997 265
-295 -118 551
-555 -138 616
-621 526 692
92 69 -790
29 -167 -426
439 541 895
584 896 -778
-639 -264 390
-881 -165 211
975 851 422
-209 -504 317
-985 -851 -141
335 -578 392
348 -150 887
531 -266 339
772 348 592
-128 -328 -568
-430 -743 491
562 -962 -326
13 -758 -295
-383 543 -810
471 -135 808
89 264 -357
541 312 350
894 -739 -954
-163 620 -305
-794 882 -162
-214 318 -952
-771 754 447
-881 -287 215
-142 996 722
269 652 -806
143 -458 -870
897 688 366
-632 944 -901
632 38 853
-487 286 -641
197 -40 -624
-732 -106 96
-9 -771 9
409 -683 819
-265 13 -897
-580 359 -101
-806 450 -715
977 -415 400
-332 206 41
889 -540 691
480 717 827
-611 -197 -204
-833 -9 121
407 -993 -143
23 -795 595
-247 354 -6
337 -30 -807
-338 -862 -566
-101 -286 869
803 251 -619
-441 400 766
641 -900 -973
807 -272 -142
896 -963 -556
638 -886 944
-663 -426 -731
-870 -398 552
113 -828 -414
-27 202 -321
440 -906 898
27 204 497
-872 814 97
87 825 544
169 -344 -32
-935 402 718
868 89 -36
699 361 878
84 -214 235
-179 413 -118
-677 -660 777
692 565 571
931 -779 690
-588 819 186
-850 66 -62
69 77 406
-94 778 -164
-142 561 105
789 -956 723
583 107 73
1000 674 339
258 -889 -793
-300 264 588
-844 232 -26
14 -229 148
501 -31 424
355 370 336
761 138 -740
270 373 484
-971 -913 -864
749 -220 -540
828 -403 -295
132 -80 -458
698 994 880
-921 265 -736
-378 35 -953
-614 984 -282
-203 -27 -985
-616 41 -641
-568 203 529
816 -763 704
-538 23 -192
-139 92 709
-895 -503 535
-547 923 894
531 -874 -666
-435 -746 863
-390 765 77
-235 -362 -75
-8 846 924
-369 -591 481
252 558 -986
-810 -726 -955
-335 -577 -562
-568 -292 -899
605 970 773
-147 619 -686
880 954 -241
640 886 -462
-533 -190 -409
-424 -781 -964
581 36 61
713 793 834
92 951 0
901 25 -378
-79 -569 -499
-416 245 -273
-757 -286 -962
482 146 -993
-403 357 445
269 -555 -355
888 111 -488
582 -949 691
-759 -48 -965
-372 -804 -896
567 518 47
704 131 740
-211 164 -620
265 -428 -646
-351 -896 945
670 990 755
676 -687 -905
815 465 163
572 790 405
-268 -796 512
-605 -28 654
497 -12 434
334 -379 -388
-400 353 145
935 53 -717
-906 -408 251
-9 837 925
750 -647 441
503 -493 103
299 394 845
916 437 -411
425 97 -958
-1000 771 -197
232 724 -532
565 -222 -966
-534 -148 105
-635 -283 137
974 950 36
-762 -354 -672
-632 -159 -824
979 -507 942
-795 -132 678
-998 -735 532
550 492 -385
5 978 -701
-228 437 669
-225 367 -572
263 833 457
-413 838 -621
263 768 -717
584 -42 -769
-475 -798 -711
-352 611 -189
695 892 958
-163 10 -561
349 -527 -273
-95 920 980
-198 530 655
-478 -83 238
384 61 825
544 982 -455
375 -271 -950
25 291 97
-76 198 575
-432 370 638
906 -239 806
864 -629 310
-875 -8 420
160 -363 -144
-348 205 480
-420 340 991
-803 -492 -937
988 140 532
-556 869 -291
-529 819 303
711 540 545
361 -499 -434
165 -823 179
481 -48 819
-946 -635 720
193 825 964
824 -164 -765
-468 384 785
357 195 -726
435 393 -869
597 -218 820
-333 335 -971
715 35 99
533 371 69
317 -515 -544
388 935 -600
-602 475 -328
-88 -66 -49
182 -677 35
213 -551 -518
-349 -951 854
-585 361 235
158 -112 -803
-661 -128 476
864 873 686
557 -275 -95
609 -182 24
378 591 383
-978 -547 -477
414 844 509
978 850 476
502 -263 201
48 231 -678
-839 52 -142
-426 -501 840
571 83 -268
-788 299 457
924 -166 -588
-482 -99 517
-170 250 -701
-334 -988 301
413 411 -918
-469 923 -811
-62 661 36
-315 531 -275
446 680 3
646 -514 255
-14 174 -665
-958 -692 -153
729 312 -97
186 -571 477
676 -932 -643
-942 -820 -1000
-531 62 -773
529 -620 -691
-512 606 152
584 556 280
837 939 952
-181 287 835
-542 -193 -61
510 -601 423
-538 836 -801
599 409 490
965 -122 -666
744 618 -45
-134 -536 267
56 -851 -447
-825 -244 990
82 -780 563
-801 -727 621
45 30 445
232 264 -612
-321 988 -948
613 246 932
457 -171 -504
-776 940 -695
-677 349 -993
787 949 213
162 21 777
900 -718 914
-628 520 298
-107 -373 260
-220 -998 340
-450 751 -627
915 567 -624
-875 240 -27
803 -529 550
-415 -348 862
242 188 550
-584 20 293
268 960 -633
-977 812 936
-660 -638 -764
-257 -492 -60
450 -576 -530
0 0 1 0
